,2,3,4,5,6,7,8,9,10,11
1.5,11,11.5,12.5,14,15.5,16.5,17.5,20,20,21
2.5,15,15.5,17,19,20,22,24,27,28,30
4,20,20,22,25,28,30,32,36,38,40
6,25,26,29,32,36,39,41,46,49,52
10,33,36,40,45,49,54,57,63,68,72
16,45,48,53,61,66,72,77,85,91,97
25,59,63,69,80,86,91,100,108,115,122
35,,,,100,106,114,124,133,143,153
50,,,,121,128,139,151,162,174,188
70,,,,156,162,178,193,208,223,243
95,,,,188,196,216,234,252,271,298
120,,,,217,226,251,272,293,314,350
150,,,,,259,289,313,337,359,401
185,,,,,294,329,356,385,409,460
240,,,,,345,385,419,455,489,545