mes,dias,h,Madrid,Bilbao,Badajoz,Sevilla,Santander,Toledo,Granada
Ene,31,8.0,8.2,5.6,8.7,9.8,5.8,8.6,10.0
Feb,28,9.0,11.7,8.0,12,13.2,8.4,12.1,13.1
Mar,31,9.0,16.7,12.3,17.3,18.1,13.0,17.3,17.7
Abr,30,9.5,20.7,15.5,21,22.1,16.6,21.4,21.5
May,31,9.5,23.8,18.6,24.5,25.2,19.2,24.2,24.8
Jun,30,9.5,27.9,20.0,28.2,28.4,20.9,28.3,28.4
Jul,31,9.5,28.9,19.8,29,29.2,20.6,29.1,29.1
Ago,31,9.5,25.2,17.5,25.6,25.9,18.1,25.5,25.8
Sep,30,9.0,19.7,14.7,20.2,20.8,15.0,20.1,20.6
Oct,31,9.0,12.8,9.8,13.6,14.5,9.7,13.4,14.6
Nov,30,8.0,8.7,6.1,9.5,10.5,6.1,9.2,10.5
Dic,31,7.5,6.7,5.0,7.1,8.4,4.9,7.0,8.5