Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.06,1.05,1.04,1.02,1.01,1.01,1.01,1.03,1.04,1.06,1.08,1.07
10,1.12,1.1,1.07,1.04,1.02,1.01,1.02,1.04,1.08,1.12,1.15,1.14
15,1.17,1.14,1.09,1.05,1.02,1,1.02,1.05,1.11,1.17,1.21,1.21
20,1.22,1.17,1.11,1.05,1.01,.99,1.01,1.06,1.13,1.22,1.27,1.26
25,1.25,1.2,1.12,1.05,.99,.97,.99,1.05,1.15,1.25,1.32,1.31
30,1.28,1.21,1.13,1.04,.97,.94,.97,1.04,1.15,1.28,1.36,1.35
35,1.31,1.22,1.12,1.02,.94,.91,.94,1.02,1.15,1.29,1.39,1.38
40,1.32,1.23,1.11,.99,.9,.87,.9,1,1.14,1.3,1.41,1.4
45,1.33,1.22,1.09,.96,.86,.82,.86,.97,1.13,1.3,1.42,1.41
50,1.32,1.21,1.07,.92,.81,.77,.81,.93,1.1,1.3,1.43,1.42
55,1.31,1.19,1.03,.87,.76,.72,.76,.88,1.07,1.28,1.42,1.41
60,1.29,1.16,.99,.82,.7,.66,.7,.83,1.03,1.25,1.41,1.4
65,1.27,1.12,.95,.77,.64,.59,.64,.77,.98,1.22,1.38,1.38
70,1.23,1.08,.9,.71,.57,.52,.57,.71,.93,1.18,1.35,1.35
75,1.19,1.03,.84,.64,.5,.45,.5,.64,.87,1.13,1.31,1.31
80,1.14,.98,.78,.57,.43,.37,.42,.57,8,1.07,1.26,1.26
85,1.09,.92,.71,.5,.35,.29,.34,.5,.73,1,1.2,1.21
90,1.02,.85,.64,.42,.27,.21,.26,.42,.66,.93,1.13,1.15