porc,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D
a,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,60,60,60,60,60,60,60,60,-30,-30,-30,-30,-30,-30,-30,-30,-60,-60,-60,-60,-60,-60,-60,-60
b,35,35,35,35,0,0,0,0,90,90,90,90,35,35,35,35,90,90,90,90,35,35,35,35,90,90,90,90,35,35,35,35,90,90,90,90,35,35,35,35,90,90,90,90
13,0,0,0,0,0,0,0,0.18,0,0,0,0.15,0,0,0,0.1,0.1,0,0,0.33,0,0,0,0.14,0,0,0,0.43,0,0,0,0.22,0,0,0,0.24,0,0,0,0.56,0,0,0,1.01
11,0,0.01,0.12,0.44,0,0.01,0.18,1.05,0,0.01,0.02,0.15,0,0,0.03,0.06,0.06,0.01,0.15,0.51,0,0,0.08,0.16,0,0.01,0.27,0.78,0,0.03,0.37,1.26,0,0.05,0.6,1.28,0,0.04,0.6,2.09,0,0.08,1.1,3.08
9,0.13,0.41,0.62,1.49,0,0.01,0.18,1.05,0.23,0.5,0.37,0.1,0.02,0.1,0.19,0.56,0.56,0.06,0.14,0.43,0.02,0.04,0.04,0.02,0.09,0.21,0.33,0.76,0.21,0.7,1.05,2.5,0.43,1.17,1.38,2.3,0.27,0.91,1.42,3.49,0.55,1.6,2.11,4.28
7,1,0.95,1.27,2.76,0.52,0.77,1.32,3.56,1.66,1.06,0.93,0.78,0.54,0.55,0.78,1.8,1.8,0.04,0.07,0.31,0.02,0.13,0.31,1.02,0.21,0.18,0.27,0.7,1.34,1.28,1.73,3.79,2.42,1.82,1.98,3.15,1.51,1.51,2.1,4.76,2.66,2.19,2.61,4.89
5,1.84,1.5,1.83,3.87,1.11,1.26,1.85,4.66,2.76,1.62,1.43,1.68,1.32,1.12,1.4,3.06,3.06,0.55,0.22,0.11,0.64,0.68,0.97,2.39,0.1,0.11,0.21,0.52,2.17,1.79,2.21,4.7,3.43,2.24,2.24,3.51,2.25,1.95,2.48,5.48,3.36,2.37,2.56,4.61
3,2.7,1.88,2.21,4.67,1.75,1.6,2.2,5.44,3.83,2,1.77,2.36,2.24,1.6,1.92,4.14,4.14,1.16,0.87,0.67,1.55,1.24,1.59,3.7,0.45,0.03,0.05,0.25,2.9,2.05,2.43,5.2,4.12,2.29,2.18,3.38,2.8,2.08,2.56,5.68,3.49,2.06,2.1,3.67
1,3.15,2.12,2.43,5.04,2.1,1.81,2.4,5.78,4.36,2.23,1.98,2.69,2.89,1.98,2.31,4.87,4.87,1.73,1.49,1.86,2.35,1.74,2.12,4.73,1.73,0.8,0.62,0.55,3.12,2.13,2.47,5.2,4.05,2.11,1.93,2.77,2.78,2.01,2.43,5.34,2.81,1.52,1.44,2.22
2,3.17,2.12,2.33,4.99,2.11,1.8,2.3,5.73,4.4,2.23,1.91,2.66,3.16,2.15,2.4,5.2,5.2,2.15,1.88,2.79,2.85,2.05,2.38,5.4,2.91,1.56,1.42,2.26,2.88,1.96,2.19,4.77,3.45,1.71,1.41,1.81,2.32,1.7,2,4.59,1.69,0.78,0.58,0.53
4,2.7,1.89,2.01,4.46,1.75,1.61,2,5.19,3.82,2.01,1.62,2.26,2.93,2.08,2.23,5.02,5.02,2.34,2.02,3.29,2.86,2.14,2.37,5.53,3.59,2.13,1.97,3.6,2.22,1.6,1.73,3.91,2.43,1.14,0.79,0.64,1.52,1.22,1.42,3.46,0.44,0.03,0.05,0.24
6,1.79,1.51,1.65,3.63,1.09,1.26,1.65,4.37,2.68,1.62,1.3,1.58,2.14,1.82,2,4.46,4.46,2.28,2.05,3.36,2.24,2,2.27,5.25,3.35,2.43,2.37,4.45,1.27,1.11,1.25,2.84,1.24,0.54,0.2,0.11,0.62,0.67,0.85,2.2,0.1,0.13,0.19,0.48
8,0.98,0.99,1.08,2.55,0.51,0.82,1.11,3.28,1.62,1.09,0.79,0.74,1.33,1.36,1.48,3.54,3.54,1.92,1.71,2.98,1.51,1.61,1.81,4.49,2.67,2.35,2.28,4.65,0.52,0.57,0.65,1.64,0.4,0.03,0.06,0.31,0.02,0.14,0.26,0.92,0.22,0.18,0.26,0.69
10,0.11,0.42,0.52,1.33,0.05,0.33,0.57,1.98,0.19,0.49,0.32,0.1,0.18,0.71,0.88,2.26,2.26,1.19,1.19,2.12,0.23,0.94,1.2,3.18,0.47,1.64,1.82,3.95,0.02,0.1,0.15,0.5,0.01,0.06,0.12,0.39,0.02,0.04,0.03,0.02,0.08,0.21,0.28,0.68
12,0,0.02,0.1,0.4,0,0.02,0.15,0.96,0,0.02,0.02,0.13,0,0.06,0.32,1.17,1.17,0.12,0.53,1.22,0,0.09,0.52,1.96,0,0.19,0.97,2.93,0,0,0.03,0.05,0,0.01,0.13,0.45,0,0.01,0.07,0.14,0,0.02,0.24,0.67
14,0,0,0,0.02,0,0,0,0.17,0,0,0,0.13,0,0,0,0.22,0.22,0,0,0.24,0,0,0,0.55,0,0,0,1,0,0,0,0.08,0,0,0,0.27,0,0,0,0.12,0,0,0,0.36