p,proyecto,13,11,9,7,5,3,1,2,4,6,8,10,12,14
D,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,idae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,idae,0,0,0,0,0,0,0,0,0,25,0,0,0,0
B,idae,0,0,0,0,0,0,0,0,25,100,50,0,0,0
A,idae,0,0,0,0,50,0,0,0,0,75,100,25,0,0
D,ua43-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,ua43-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,ua43-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ua43-6,0,0,0,0,25,50,50,0,0,0,0,0,0,0
D,ua92-te2-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,ua92-te2-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,ua92-te2-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ua92-te2-03,0,0,0,0,25,50,25,0,0,0,0,0,0,0
D,ua93-07,0,0,0,0,0,0,0,0,0,0,0,0,25,50
C,ua93-07,0,0,0,0,0,0,0,0,0,0,0,25,75,0
B,ua93-07,0,0,0,0,0,0,0,0,0,0,0,50,100,0
A,ua93-07,0,0,0,0,25,0,0,0,0,0,25,100,0,0
D,ua93-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,ua93-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,ua93-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ua93-06,0,0,0,0,25,50,50,0,0,0,0,0,0,0
D,ua93-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,ua93-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,ua93-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ua93-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,ua43-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,ua43-08,0,0,25,0,0,0,0,0,0,0,0,0,0,0
B,ua43-08,0,75,100,25,0,0,0,0,0,0,0,0,0,0
A,ua43-08,0,0,100,100,25,0,0,0,0,0,25,50,0,0